name;id;nametype;recclass;mass (g);fall;year;reclat;reclong;GeoLocation
Aachen;1;Valid;L5;21;Fell;1880;50.775000;6.083330;(50.775, 6.08333)
Aarhus;2;Valid;H6;720;Fell;1951;56.183330;10.233330;(56.18333, 10.23333)
Abee;6;Valid;EH4;107;Fell;1952;54.216670;-113.000000;(54.21667, -113.0)
Acapulco;10;Valid;Acapulcoite;1,914;Fell;1976;16.883330;-99.900000;(16.88333, -99.9)
Achiras;370;Valid;L6;780;Fell;1902;-33.166670;-64.950000;(-33.16667, -64.95)
Adhi Kot;379;Valid;EH4;4,239;Fell;1919;32.100000;71.800000;(32.1, 71.8)
Adzhi-Bogdo (stone);390;Valid;LL3-6;910;Fell;1949;44.833330;95.166670;(44.83333, 95.16667)
Agen;392;Valid;H5;30;Fell;1814;44.216670;0.616670;(44.21667, 0.61667)
Aguada;398;Valid;L6;1,62;Fell;1930;-31.600000;-65.233330;(-31.6, -65.23333)
Aguila Blanca;417;Valid;L;1,44;Fell;1920;-30.866670;-64.550000;(-30.86667, -64.55)
Aioun el Atrouss;423;Valid;Diogenite-pm;1;Fell;1974;16.398060;-9.570280;(16.39806, -9.57028)
Aïr;424;Valid;L6;24;Fell;1925;19.083330;8.383330;(19.08333, 8.38333)
Aire-sur-la-Lys;425;Valid;Unknown;;Fell;1769;50.666670;2.333330;(50.66667, 2.33333)
Akaba;426;Valid;L6;779;Fell;1949;29.516670;35.050000;(29.51667, 35.05)
Akbarpur;427;Valid;H4;1,8;Fell;1838;29.716670;77.950000;(29.71667, 77.95)
Akwanga;432;Valid;H;3;Fell;1959;8.916670;8.433330;(8.91667, 8.43333)
Akyumak;433;Valid;Iron, IVA;50;Fell;1981;39.916670;42.816670;(39.91667, 42.81667)
Al Rais;446;Valid;CR2-an;160;Fell;1957;24.416670;39.516670;(24.41667, 39.51667)
Al Zarnkh;447;Valid;LL5;700;Fell;2001;13.660330;28.960000;(13.66033, 28.96)
Alais;448;Valid;CI1;6;Fell;1806;44.116670;4.083330;(44.11667, 4.08333)
Albareto;453;Valid;L/LL4;2;Fell;1766;44.650000;11.016670;(44.65, 11.01667)
Alberta;454;Valid;L;625;Fell;1949;2.000000;22.666670;(2.0, 22.66667)
Alby sur Chéran;458;Valid;Eucrite-mmict;252;Fell;2002;45.821330;6.015330;(45.82133, 6.01533)
Aldsworth;461;Valid;LL5;700;Fell;1835;51.783330;-1.783330;(51.78333, -1.78333)
Aleppo;462;Valid;L6;3,2;Fell;1873;36.233330;37.133330;(36.23333, 37.13333)
Alessandria;463;Valid;H5;908;Fell;1860;44.883330;8.750000;(44.88333, 8.75)
Alexandrovsky;465;Valid;H4;9,251;Fell;1900;50.950000;31.816670;(50.95, 31.81667)
Alfianello;466;Valid;L6;228;Fell;1883;45.266670;10.150000;(45.26667, 10.15)
Allegan;2276;Valid;H5;32;Fell;1899;42.533330;-85.883330;(42.53333, -85.88333)
Allende;2278;Valid;CV3;2,000,000;Fell;1969;26.966670;-105.316670;(26.96667, -105.31667)
Almahata Sitta;48915;Valid;Ureilite-an;3,95;Fell;2008;20.745750;32.412750;(20.74575, 32.41275)
